Which of the following are types of compliance training? Select all that apply.|Health and safety training$Anti-harassment and discrimination training$Information security training
By the end of an ethics training program, the objective is for 85% of employees to demonstrate a thorough understanding of ethical principles and adhere to the organization's Code of Conduct. Furthermore, the training aims to achieve a 15% decrease in ethics-related incidents over six months. What training program development step does this apply to?|Create a SMART goal
True or False: Conducting pre-training and post-training assessments is a common practice for evaluating the effectiveness of training programs.|True
Which of the following steps involves determining the most appropriate format for delivering a training program to employees?|Select a training type
True or False: Setting a SMART goal is the final step in creating a training program.|False
What is a career lifecycle?|The stages an individual goes through in their career, from the beginning of their working life until their retirement
What happens during the maintenance stage of a career lifecycle?|Individuals reach a point in their careers where their talent is optimized
Which of the following tasks can talent management systems help with?|Performance management
An HR professional creates a training program in which employees learn individual tasks and concepts and then teach the concepts to others in the group. Which type of learning structure does this refer to?|Cooperative learning
What is a learning management system (LMS)?|A software system used to create, administer, document, track, report on, and deliver online educational courseware
An HR manager sends employees pre-tests before and post-tests after they complete a training program. What level of the Kirkpatrick model does this refer to?|The second level, "Learning"
A focus group evaluates a training before it is implemented and provides feedback on any changes needed. What type of evaluation is this?|Pilot test
An HR manager wants to evaluate the effectiveness of a leadership development training program. What testing method can they use?|Experimental design
A manager sets a SMART goal that helps them reach the organization's long-term objectives. Which part of the SMART acronym does this refer to?|Relevant
What does the total cost of training employees include? Select all that apply.|The cost of training materials, such as books, videos or online modules$The cost of the facilities used for the training$Administrative costs like scheduling, registration, and tracking training progress
What refers to the amount of time and effort learners put into the learning process?|Learner engagement
A graduate applies for a job, accepts a job offer, and chooses a career in marketing. What career development phase are they in?|Commitment
A new manager is paired with an experienced manager. The experienced manager acts out a customer interaction to which the new manager has to respond. The experienced manager then provides feedback. In what stage of Bloom's Taxonomy might this occur?|Analyze
An HR manager aims to reduce the safety risks and costs of training. What type of training enables them to do that?|Simulation training
When would an organization use job rotation? Select all that apply.|To increase flexibility$To develop well-rounded employees$To promote career development
What is the process of acquiring knowledge, skills, and attitudes through educational activities or experiences specifically designed for post-childhood education?|Adult learning
Which of the following are examples of training methods for visual learners?|Handouts, books, and articles with illustrations and images
An HR manager identifies promising employees who can fulfill managerial or executive roles in an organization. What area of talent management systems helps them to complete this process?|Succession planning
What type of software automates and manages processes such as compensation and performance management?|Talent management systems
How do HR professionals use an HRM (Human Resource Management) system to streamline employee training? Select all that apply.|To create and maintain centralized training records on training completed, training dates, and results in one location$To set up training schedules, send reminders for upcoming events, and track employee attendance$To stay up to date with training requirements
As an HR professional, you create a SMART goal for an upcoming health and safety training program. What is the purpose of setting this goal?|It allows the HR team to track progress and determine the training program's success
How do you calculate training costs per employee?|Total cost of training divided by the number of employees
Which of the following types of simulation training would an HR manager use for training employees?|Vestibule training
When would an organization use job rotation? Select all that apply.|To increase flexibility$To develop well-rounded employees$To promote career development
As an HR professional, you create a SMART goal for an upcoming health and safety training program. What is the purpose of setting this goal?|It allows the HR team to track progress and determine the training program's success
Which of the following are features of a learning management system (LMS)? Select all that apply.|User management$Course management$Tracking and reporting
Fill in the blank: There are four levels of evaluation in the _____: reaction, learning behavior, and results.|Kirkpatrick Model
What does the total cost of training employees include? Select all that apply.|Administrative costs like scheduling, registration, and tracking training progress$The cost of the facilities used for the training$The cost of training materials, such as books, videos or online modules
When would an organization use job rotation? Select all that apply.|To promote career development$To develop well-rounded employees$To increase flexibility
How do HR professionals use an HRM (Human Resource Management) system to streamline employee training? Select all that apply.|To stay up to date with training requirements$To set up training schedules, send reminders for upcoming events, and track employee attendance$To create and maintain centralized training records on training completed, training dates, and results in one location
An HR professional is designing a training program for an organization. What four types of learning structures should they consider to create the most effective learning experience for employees?|Parallel, simulated, cooperative, blended
How do you calculate training costs per employee?|Total cost of training divided by the number of employees
An individual uses techniques, resources and strategies to plan, manage and advance their career in sales. What are these referred to as a whole?|Career development tools
True or False: Tactile, or kinesthetic learners learn best by doing and experiencing information.|True
As an HR manager in a highly regulated industry, you must ensure that employees understand and work within various regulations. You implement a training program to meet these regulatory requirements. What type of training did you implement?|Compliance training
True or False: An HRM system is a software platform designed to streamline and automate various HR processes, including employee data management, payroll, benefits, administration, recruitment, and training management.|True
Fill in the blank: ______ is a framework for learning, teaching, and achievement.|Bloom's Taxonomy
True or False: When creating a training program, it is necessary to create a SMART goal first, then conduct a training needs analysis.|False
What type of software automates and manages processes such as compensation and performance management?|Talent management systems
An HR professional is designing a training program for an organization. What four types of learning structures should they consider to create the most effective learning experience for employees?|Parallel, simulated, cooperative, blended
You are an HR professional responsible for implementing an organization's code of conduct and ethics training program. What will this training program include?|Policies and procedures related to morally correct behavior, conflicts of interest, and other relevant topics
An HR manager identifies promising employees who can fulfill managerial or executive roles in an organization. What area of talent management systems helps them to complete this process?|Succession Planning
